Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Chucky Atkins,Spurs,45.71,56.88,17.22,1.12,2.36,47.64,225
Priest Lauderdale,Jazz,50.98,1789.8,25.08,10.64,21.36,49.81,2718
Scott Haskin,Jazz,49.16,1073.96,25.61,6.03,12.04,50.05,1860
George Ackles,Jazz,48.5,1067.96,20.73,6.34,14.08,45.0,2666
Brian Rowsom,Jazz,43.6,34.4,13.36,0.72,1.66,43.27,97
Mikki Moore,Jazz,48.16,23.88,19.8,1.6,2.94,54.41,52
Scottie Pippen,Jazz,52.14,995.36,19.8,8.08,15.49,52.16,2438
Keith Booth,Jazz,60.25,390.88,19.11,4.93,9.21,53.59,1086
John Wallace,Jazz,44.86,337.72,12.58,2.14,4.95,43.19,1465
Dallas Comegys,Jazz,55.16,161.36,24.76,3.28,7.28,45.1,425
Lawrence Moten,Jazz,50.3,459.28,13.36,3.4,7.18,47.43,1978
Terrell Brandon,Jazz,49.49,934.44,19.19,8.1,15.54,52.13,2599
Dwayne Morton,Jazz,49.52,302.88,18.18,3.21,6.45,49.74,1235
Carlos Rogers,Warriors,47.78,821.52,19.67,4.57,10.34,44.15,2228
Adonal Foyle,Warriors,46.21,498.8,17.96,2.85,6.53,43.65,1549
Todd Fuller,Warriors,25.0,12.0,6.88,0.3,1.14,26.11,39
Danny Manning,Warriors,56.21,1895.64,24.12,11.88,22.0,54.0,2769
Joe Smith,Warriors,52.53,582.52,29.19,3.31,6.31,52.49,998
Lamond Murray,Warriors,58.09,1168.08,19.84,7.1,14.52,48.9,2798
Shareef Abdur-Rahim,Warriors,47.36,356.84,18.7,2.01,4.58,43.84,1060
Rex Chapman,Warriors,52.3,726.6,14.29,4.73,9.97,47.41,2787
Anthony Parker,Warriors,51.33,305.84,14.55,1.89,3.73,50.64,1024
Steve Alford,Warriors,54.26,558.4,19.06,7.66,15.05,50.86,1772
Tyus Edney,Warriors,49.61,511.0,17.99,4.37,8.34,52.36,1558
Mark Price,Warriors,49.3,119.68,14.23,3.03,7.01,43.25,482
Tim Duncan,Clippers,49.25,988.88,22.81,5.95,12.64,47.03,2285
Eurelijus Zukauskas,Clippers,42.61,362.56,15.17,3.59,8.05,44.56,1252
Arvydas Sabonis,Clippers,50.96,265.88,17.17,2.24,4.52,49.47,915
Mark Buford,Clippers,41.47,289.36,17.55,2.45,6.02,40.79,890
Kevin Garnett,Clippers,48.6,1247.04,25.02,7.56,15.54,48.67,2176
Doug Smith,Clippers,47.15,276.8,22.31,5.82,12.56,46.37,624
George Zidek,Clippers,49.28,168.44,20.95,3.78,7.7,49.16,424
Tim Perry,Clippers,40.93,160.04,19.32,2.26,5.35,42.24,349
Benoit Benjamin,Clippers,46.24,71.36,9.57,1.1,3.13,34.99,451
Dontonio Wingfield,Clippers,47.72,349.96,19.15,3.3,7.07,46.65,1047
Tracy McGrady,Clippers,51.76,825.0,19.74,5.13,10.15,50.58,1979
Robert Churchwell,Clippers,48.25,802.08,16.87,4.22,9.57,44.12,2366
Dee Brown,Clippers,54.4,117.64,25.09,2.5,4.71,53.02,270
Mike Morrison,Clippers,56.37,325.52,18.0,3.5,7.4,47.34,992
Jalen Rose,Clippers,55.43,1034.68,20.89,8.4,15.31,54.88,2524
Pervis Ellison,Lakers,45.53,1094.8,22.69,6.07,13.86,43.82,2495
John Thomas,Lakers,51.78,82.08,21.38,1.69,3.35,50.33,243
Yinka Dare,Lakers,37.35,20.08,9.98,0.4,1.47,27.16,127
Zeljko Rebraca,Lakers,48.83,773.08,20.62,4.58,9.5,48.23,1889
Jerome Lane,Lakers,50.54,1327.68,22.64,9.91,21.44,46.25,2459
Clarence Weatherspoon,Lakers,49.78,1216.24,23.13,8.15,16.44,49.58,2450
Adam Keefe,Lakers,48.6,603.88,23.2,3.73,7.85,47.53,1472
Isaiah Rider,Lakers,54.38,998.44,18.31,7.08,13.71,51.64,2405
Griffin McAdoo,Lakers,52.83,902.88,19.6,6.07,13.35,45.44,2319
Aleksandar Dordevic,Lakers,48.08,62.4,12.81,0.81,2.26,35.72,281
Randy Woods,Lakers,53.09,748.72,16.73,7.18,14.61,49.16,2821
Anthony Johnson,Lakers,49.18,114.88,14.67,0.9,1.88,47.68,477
Erick Dampier,Trailblazers,47.82,1602.92,28.14,8.7,18.21,47.77,2380
Chris Anstey,Trailblazers,48.91,896.48,22.69,5.38,11.02,48.85,1997
Steve Scheffler,Trailblazers,46.55,64.44,28.82,3.13,5.88,53.24,142
David Goodrich,Trailblazers,43.83,598.88,15.14,3.46,8.91,38.82,2297
Martin Muursepp,Trailblazers,50.87,992.64,19.43,6.89,13.1,52.61,2345
Michael Ansley,Trailblazers,51.29,891.96,28.26,5.17,10.7,48.34,1654
Monty Williams,Trailblazers,59.87,20.88,22.06,1.23,2.4,51.0,50
Dennis Hopson,Trailblazers,46.5,54.84,17.25,2.7,5.85,46.1,186
Calbert Cheaney,Trailblazers,78.83,4.44,36.98,0.94,1.15,81.81,7
Kenny Payne,Trailblazers,41.71,43.16,10.61,0.61,1.6,38.34,138
Nate Erdmann,Trailblazers,54.9,519.12,14.19,3.31,6.96,47.62,2112
Kiwane Garris,Trailblazers,48.8,362.72,12.34,2.29,4.89,46.91,1679
Terrence Rencher,Trailblazers,48.18,883.08,21.32,6.9,15.65,44.07,2493
Don Brooks,Trailblazers,51.65,485.0,22.29,3.4,7.49,45.39,1303
Eric Mobley,Kings,46.58,427.2,20.96,3.88,8.03,48.26,1144
Clifford Rozier,Kings,38.32,293.56,18.7,2.51,6.41,39.22,944
Scott Williams,Kings,46.71,488.16,13.19,3.05,6.93,44.07,2050
Ben Wallace,Kings,44.05,681.0,19.21,3.23,8.05,40.09,2024
Marc Jackson,Kings,49.79,408.68,14.91,2.73,6.26,43.63,1633
Alan Henderson,Kings,62.73,21.52,10.14,1.71,2.56,66.76,84
Donyell Marshall,Kings,53.75,1310.72,25.6,7.96,16.33,48.74,2609
Stephen Jackson,Kings,49.78,435.92,17.67,2.37,5.61,42.17,1364
Latrell Sprewell,Kings,57.85,1832.28,20.21,11.81,21.61,54.62,3013
Gary Collier,Kings,56.05,582.52,29.35,4.06,7.69,52.85,1075
Jason Kidd,Kings,53.74,1450.56,25.34,11.68,21.89,53.36,3019
